Latitude,Longitude,Start Date,End Date
26.2074,82.6165,2015-07-15,2015-08-19
26.8946,93.751,2015-08-13,2015-11-09
11.8278,78.8554,2015-10-11,2015-04-12
27.464,95.6068,2016-04-20,2016-01-05
27.068,93.949,2016-06-29,2016-08-26
22.8107,80.8349,2016-07-07,2016-03-08
21.7477,73.4119,2016-01-08,2016-03-08
25.6099,85.1898,2016-07-15,2016-09-22
17.6536,80.3401,2016-09-21,2016-10-16
27.6131,94.9387,2017-02-06,2017-03-07
21.898,70.9375,2017-07-15,2017-07-20
22.9061,88.0848,2017-07-27,2017-10-08
28.1657,79.076,2017-10-08,2017-08-26
10.489,79.0039,2017-10-30,2017-08-11
14.3584,75.4408,2018-05-29,2018-05-30
26.8948,93.3551,2018-12-06,2018-06-20
33.3752,75.1439,2018-06-25,2018-11-07
20.9795,73.783,2018-06-22,2018-02-07
19.5656,74.5501,2018-06-07,2018-11-07
12.5238,75.6883,2018-09-07,2018-07-19
9.39943,76.7275,2018-07-08,2018-10-08
27.2914,94.1222,2018-02-08,2018-10-08
25.7354,82.4309,2018-01-09,2018-07-09
26.0513,94.7655,2018-08-15,2018-07-09
31.3414,76.6285,2018-09-23,2018-02-10
17.9,83.3588,2018-11-10,2018-12-10
21.5427,87.4662,2019-03-05,2019-07-05
23.4991,91.5736,2019-05-24,2019-05-27
27.3531,94.3944,2019-06-27,2019-07-13
20.2969,74.748,2019-01-07,2019-05-07
11.4575,76.0842,2019-06-08,2019-09-08
19.1145,83.4825,2019-05-08,2019-09-08
25.3928,74.3521,2019-09-13,2019-09-22
24.1511,77.3956,2019-09-15,2019-09-22
27.0678,94.2459,2019-10-25,2019-06-11
10.8488,78.8554,2019-11-30,2019-06-12
26.2074,82.62,2015-07-15,2015-08-19
26.8946,93.75,2015-08-13,2015-08-19
118.278,788.55,2015-11-08,2015-12-04
27.464,95.607,2016-04-22,2016-04-25
27.068,93.95,2016-06-25,2016-07-01
17.654,80.34,2016-09-21,2016-09-29
10.489,79.004,2017-10-30,2017-11-08
