Latitude,Longitude,NDVI,NDWI,NDBI
11.0,22.9061,3.0777409999299796,13.90269569713045,31.398054678343282
16.0,33.3752,1.0773959049467396,15.115064833936694,21.724708777652587
18.0,19.5656,0.4788247810781997,18.542968164559475,31.56694406857368
20.0,9.39943,0.9425971940055933,8.781481209566182,14.81241852053382
21.0,27.2914,2.2661692534462436,20.228029457505095,37.70975521610964
22.0,25.7354,0.31234615345768774,17.838793135170675,29.159594994074823
25.0,17.9,0.9725977248225143,21.47271582365991,31.668446485354536
26.0,21.5427,13.060605241250252,12.438825717759231,54.39946510900391
29.0,20.2969,0.2608867741143255,22.36085978731988,36.307138408213106
30.0,11.4575,0.4985250177755144,9.254602722440492,14.792448925472256
31.0,19.1145,0.4931718993084202,17.234556888334776,26.629832886440944
32.0,25.3928,0.23466998168346168,9.00942137213282,14.86699519659083
42.0,10.489,0.20499278872760565,5.9255721110493536,9.806527875443557
4.0,27.068,5.630803060629025,15.509714585083342,38.88349072612627
6.0,21.7477,0.4066703439746073,22.614069920232026,35.30207698134304
7.0,25.6099,1.821826703183067,15.282499304196033,27.349625410341368
8.0,17.6536,0.7125433521621869,12.907263760451988,19.729318909805613
9.0,27.6131,1.4060777070808097,20.011796802741653,33.9776200381601
